scenario,frame,frame_ms,fps_monitor,process_ms,memory_mib,nodes,draw_objects,draw_primitives,draw_calls
world_far_drag,0,59.2290,1.00,9.7190,105.2177,5,1385,80205,1277
world_far_drag,1,58.8300,1.00,9.7190,105.2225,5,1385,80205,1277
world_far_drag,2,57.6290,1.00,9.7190,105.2247,5,1385,80205,1277
world_far_drag,3,57.8100,1.00,9.7190,105.2270,5,1385,80205,1277
world_far_drag,4,58.1290,1.00,9.7190,105.2285,5,1385,80205,1277
world_far_drag,5,59.9450,22.00,60.4970,105.2299,5,1385,80205,1277
world_far_drag,6,61.7400,22.00,60.4970,105.2314,5,1385,80205,1277
world_far_drag,7,57.6860,22.00,60.4970,105.2328,5,1385,80205,1277
world_far_drag,8,56.5520,22.00,60.4970,105.2343,5,1385,80205,1277
world_far_drag,9,60.3530,22.00,60.4970,105.2357,5,1385,80205,1277
world_far_drag,10,59.2470,22.00,60.4970,105.2371,5,1385,80205,1277
world_far_drag,11,58.8790,22.00,60.4970,105.2385,5,1385,80205,1277
world_far_drag,12,58.4800,22.00,60.4970,105.2401,5,1385,80205,1277
world_far_drag,13,61.2110,22.00,60.4970,105.2434,5,1385,80205,1277
world_far_drag,14,62.2510,22.00,60.4970,105.2430,5,1385,80205,1277
world_far_drag,15,58.5540,22.00,60.4970,105.2443,5,1385,80205,1277
world_far_drag,16,59.2640,22.00,60.4970,105.2457,5,1385,80205,1277
world_far_drag,17,57.3840,22.00,60.4970,105.2471,5,1385,80205,1277
world_far_drag,18,59.3170,22.00,60.4970,105.2488,5,1385,80205,1277
world_far_drag,19,56.9600,22.00,60.4970,105.2503,5,1385,80205,1277
world_far_drag,20,56.1500,22.00,60.4970,105.2517,5,1385,80205,1277
world_far_drag,21,56.4480,22.00,60.4970,105.2531,5,1385,80205,1277
world_far_drag,22,58.0290,17.00,62.1300,105.2545,5,1385,80205,1277
world_far_drag,23,58.3080,17.00,62.1300,105.2559,5,1385,80205,1277
world_far_drag,24,58.7330,17.00,62.1300,105.2572,5,1385,80205,1277
world_far_drag,25,65.5290,17.00,62.1300,105.2586,5,1385,80205,1277
world_far_drag,26,71.8550,17.00,62.1300,105.2600,5,1385,80205,1277
world_far_drag,27,64.9430,17.00,62.1300,105.2618,5,1385,80205,1277
world_far_drag,28,64.0030,17.00,62.1300,105.2635,5,1385,80205,1277
world_far_drag,29,58.5750,17.00,62.1300,105.2649,5,1385,80205,1277
world_far_drag,30,57.9550,17.00,62.1300,105.2681,5,1385,80205,1277
world_far_drag,31,61.6310,17.00,62.1300,105.2677,5,1385,80205,1277
world_far_drag,32,67.4600,17.00,62.1300,105.2690,5,1385,80205,1277
world_far_drag,33,60.3950,17.00,62.1300,105.2704,5,1385,80205,1277
world_far_drag,34,68.4770,17.00,62.1300,105.2718,5,1385,80205,1277
world_far_drag,35,72.3580,17.00,62.1300,105.2732,5,1385,80205,1277
world_far_drag,36,74.8190,17.00,62.1300,105.2746,5,1385,80205,1277
world_far_drag,37,65.9420,15.00,74.6410,105.2759,5,1385,80205,1277
world_far_drag,38,61.5210,15.00,74.6410,105.2773,5,1385,80205,1277
world_far_drag,39,62.4550,15.00,74.6410,105.2787,5,1385,80205,1277
world_far_drag,40,66.9120,15.00,74.6410,105.2801,5,1385,80205,1277
world_far_drag,41,59.9540,15.00,74.6410,105.2821,5,1385,80205,1277
world_far_drag,42,57.9480,15.00,74.6410,105.2840,5,1385,80205,1277
world_far_drag,43,56.4540,15.00,74.6410,105.2854,5,1385,80205,1277
world_far_drag,44,56.0540,15.00,74.6410,105.2867,5,1385,80205,1277
world_far_drag,45,56.3180,15.00,74.6410,105.2881,5,1385,80205,1277
world_far_drag,46,59.2870,15.00,74.6410,105.2913,5,1385,80205,1277
world_far_drag,47,60.7640,15.00,74.6410,105.2909,5,1385,80205,1277
world_far_drag,48,58.0070,15.00,74.6410,105.2923,5,1385,80205,1277
world_far_drag,49,56.2620,15.00,74.6410,105.2936,5,1385,80205,1277
world_far_drag,50,57.1140,15.00,74.6410,105.2950,5,1385,80205,1277
world_far_drag,51,65.6490,15.00,74.6410,105.2964,5,1385,80205,1277
world_far_drag,52,58.9890,15.00,74.6410,105.2978,5,1385,80205,1277
world_far_drag,53,58.4030,15.00,74.6410,105.2992,5,1385,80205,1277
world_far_drag,54,59.7060,17.00,66.7560,105.3005,5,1385,80205,1277
world_far_drag,55,59.0300,17.00,66.7560,105.3019,5,1385,80205,1277
world_far_drag,56,56.3680,17.00,66.7560,105.3033,5,1385,80205,1277
world_far_drag,57,55.7370,17.00,66.7560,105.3047,5,1385,80205,1277
world_far_drag,58,56.9370,17.00,66.7560,105.3061,5,1385,80205,1277
world_far_drag,59,58.7840,17.00,66.7560,105.3074,5,1385,80205,1277
world_far_drag,60,58.7390,17.00,66.7560,105.3088,5,1385,80205,1277
world_far_drag,61,57.7960,17.00,66.7560,105.3102,5,1385,80205,1277
world_far_drag,62,57.6570,17.00,66.7560,105.3125,5,1385,80205,1277
world_far_drag,63,57.0970,17.00,66.7560,105.3146,5,1385,80205,1277
world_far_drag,64,58.9070,17.00,66.7560,105.3178,5,1385,80205,1277
world_far_drag,65,76.2580,17.00,66.7560,105.3174,5,1385,80205,1277
world_far_drag,66,65.8080,17.00,66.7560,105.3188,5,1385,80205,1277
world_far_drag,67,57.1710,17.00,66.7560,105.3201,5,1385,80205,1277
world_far_drag,68,62.9100,17.00,66.7560,105.3215,5,1385,80205,1277
world_far_drag,69,55.4660,17.00,66.7560,105.3229,5,1385,80205,1277
world_far_drag,70,60.4270,17.00,66.7560,105.3243,5,1385,80205,1277
world_far_drag,71,67.0750,17.00,76.1460,105.3257,5,1385,80205,1277
world_far_drag,72,56.0570,17.00,76.1460,105.3271,5,1385,80205,1277
world_far_drag,73,56.8160,17.00,76.1460,105.3284,5,1385,80205,1277
world_far_drag,74,56.3250,17.00,76.1460,105.3298,5,1385,80205,1277
world_far_drag,75,142.1350,17.00,76.1460,105.3343,5,1385,80205,1277
world_far_drag,76,72.3420,17.00,76.1460,105.3364,5,1388,80211,1278
world_far_drag,77,68.9250,17.00,76.1460,105.3378,5,1388,80211,1278
world_far_drag,78,73.3830,17.00,76.1460,105.3394,5,1388,80211,1278
world_far_drag,79,72.3170,17.00,76.1460,105.3426,5,1388,80211,1278
world_far_drag,80,65.4170,17.00,76.1460,105.3422,5,1388,80211,1278
world_far_drag,81,59.0080,17.00,76.1460,105.3435,5,1388,80211,1278
world_far_drag,82,60.1630,17.00,76.1460,105.3449,5,1388,80211,1278
world_far_drag,83,62.5370,17.00,76.1460,105.3463,5,1388,80211,1278
world_far_drag,84,63.6420,17.00,76.1460,105.3477,5,1388,80211,1278
world_far_drag,85,62.3120,14.00,73.3020,105.3491,5,1388,80211,1278
world_far_drag,86,62.9210,14.00,73.3020,105.3504,5,1388,80211,1278
world_far_drag,87,62.6850,14.00,73.3020,105.3518,5,1388,80211,1278
world_far_drag,88,59.5000,14.00,73.3020,105.3532,5,1388,80211,1278
world_far_drag,89,57.1810,14.00,73.3020,105.3546,5,1388,80211,1278
world_far_drag,90,56.2860,14.00,73.3020,105.3560,5,1388,80211,1278
world_far_drag,91,56.6130,14.00,73.3020,105.3574,5,1388,80211,1278
world_far_drag,92,56.1230,14.00,73.3020,105.3598,5,1388,80211,1278
world_far_drag,93,58.0090,14.00,73.3020,105.3615,5,1388,80211,1278
world_far_drag,94,60.6140,14.00,73.3020,105.3640,5,1388,80211,1278
world_far_drag,95,64.2620,14.00,73.3020,105.3654,5,1388,80211,1278
world_far_drag,96,59.6900,14.00,73.3020,105.3686,5,1388,80211,1278
world_far_drag,97,59.3490,14.00,73.3020,105.3681,5,1388,80211,1278
world_far_drag,98,57.5190,14.00,73.3020,105.3695,5,1388,80211,1278
world_far_drag,99,57.4720,14.00,73.3020,105.3709,5,1388,80211,1278
world_far_drag,100,56.9030,14.00,73.3020,105.3723,5,1388,80211,1278
world_far_drag,101,56.6500,14.00,73.3020,105.3737,5,1388,80211,1278
world_far_drag,102,61.6970,17.00,63.9280,105.3751,5,1388,80211,1278
world_far_drag,103,60.4070,17.00,63.9280,105.3764,5,1388,80211,1278
world_far_drag,104,57.3590,17.00,63.9280,105.3778,5,1388,80211,1278
world_far_drag,105,56.3290,17.00,63.9280,105.3792,5,1388,80211,1278
world_far_drag,106,58.7610,17.00,63.9280,105.3806,5,1388,80211,1278
world_far_drag,107,69.5060,17.00,63.9280,105.3820,5,1388,80211,1278
world_far_drag,108,58.9990,17.00,63.9280,105.3833,5,1388,80211,1278
world_far_drag,109,62.0500,17.00,63.9280,105.3847,5,1388,80211,1278
world_far_drag,110,62.3720,17.00,63.9280,105.3861,5,1388,80211,1278
world_far_drag,111,60.2490,17.00,63.9280,105.3875,5,1388,80211,1278
world_far_drag,112,70.3860,17.00,63.9280,105.3889,5,1388,80211,1278
world_far_drag,113,61.3180,17.00,63.9280,105.3920,5,1388,80211,1278
world_far_drag,114,59.5950,17.00,63.9280,105.3916,5,1388,80211,1278
world_far_drag,115,63.0280,17.00,63.9280,105.3930,5,1388,80211,1278
world_far_drag,116,56.4010,17.00,63.9280,105.3944,5,1388,80211,1278
world_far_drag,117,56.4470,17.00,63.9280,105.3958,5,1388,80211,1278
world_far_drag,118,57.5480,16.00,70.0710,105.3971,5,1388,80211,1278
world_far_drag,119,62.1400,16.00,70.0710,105.3985,5,1388,80211,1278
world_far_drag,120,75.4540,16.00,70.0710,105.3999,5,1388,80211,1278
world_far_drag,121,56.9990,16.00,70.0710,105.4013,5,1388,80211,1278
world_far_drag,122,55.8540,16.00,70.0710,105.4027,5,1388,80211,1278
world_far_drag,123,56.3020,16.00,70.0710,105.4040,5,1388,80211,1278
world_far_drag,124,55.1620,16.00,70.0710,105.4054,5,1388,80211,1278
world_far_drag,125,62.0330,16.00,70.0710,105.4068,5,1388,80211,1278
world_far_drag,126,65.2540,16.00,70.0710,105.4082,5,1388,80211,1278
world_far_drag,127,71.4540,16.00,70.0710,105.4096,5,1388,80211,1278
world_far_drag,128,90.8120,16.00,70.0710,105.4110,5,1388,80211,1278
world_far_drag,129,83.6360,16.00,70.0710,105.4141,5,1388,80211,1278
world_far_drag,130,64.3910,16.00,70.0710,105.4137,5,1388,80211,1278
world_far_drag,131,64.0120,16.00,70.0710,105.4151,5,1388,80211,1278
world_far_drag,132,65.5890,16.00,70.0710,105.4165,5,1388,80211,1278
world_far_drag,133,61.4250,16.00,70.0710,105.4179,5,1388,80211,1278
world_far_drag,134,58.5380,16.00,90.3880,105.4192,5,1388,80211,1278
world_far_drag,135,58.0160,16.00,90.3880,105.4206,5,1388,80211,1278
world_far_drag,136,56.8330,16.00,90.3880,105.4220,5,1388,80211,1278
world_far_drag,137,56.5770,16.00,90.3880,105.4234,5,1388,80211,1278
world_far_drag,138,57.5530,16.00,90.3880,105.4248,5,1388,80211,1278
world_far_drag,139,57.1150,16.00,90.3880,105.4277,5,1388,80211,1278
world_far_drag,140,56.5570,16.00,90.3880,105.4297,5,1388,80211,1278
world_far_drag,141,56.4260,16.00,90.3880,105.4326,5,1388,80211,1278
world_far_drag,142,56.6610,16.00,90.3880,105.4340,5,1388,80211,1278
world_far_drag,143,58.3270,16.00,90.3880,105.4354,5,1388,80211,1278
world_far_drag,144,58.2520,16.00,90.3880,105.4368,5,1388,80211,1278
world_far_drag,145,58.3650,16.00,90.3880,105.4382,5,1388,80211,1278
world_far_drag,146,58.5480,16.00,90.3880,105.4413,5,1388,80211,1278
world_far_drag,147,57.3800,16.00,90.3880,105.4409,5,1388,80211,1278
world_far_drag,148,58.5300,16.00,90.3880,105.4423,5,1388,80211,1278
world_far_drag,149,57.3150,16.00,90.3880,105.4437,5,1388,80211,1278
world_far_drag,150,58.9750,16.00,90.3880,105.4451,5,1388,80211,1278
world_far_drag,151,59.5870,17.00,59.4560,105.4465,5,1388,80211,1278
world_far_drag,152,59.2770,17.00,59.4560,105.4478,5,1388,80211,1278
world_far_drag,153,57.1080,17.00,59.4560,105.4492,5,1388,80211,1278
world_far_drag,154,71.3110,17.00,59.4560,105.4506,5,1388,80211,1278
world_far_drag,155,65.9010,17.00,59.4560,105.4520,5,1388,80211,1278
world_far_drag,156,58.0860,17.00,59.4560,105.4534,5,1388,80211,1278
world_far_drag,157,56.4230,17.00,59.4560,105.4547,5,1388,80211,1278
world_far_drag,158,56.9800,17.00,59.4560,105.4561,5,1388,80211,1278
world_far_drag,159,56.9890,17.00,59.4560,105.4575,5,1388,80211,1278
world_far_drag,160,55.4250,17.00,59.4560,105.4589,5,1388,80211,1278
world_far_drag,161,55.3430,17.00,59.4560,105.4603,5,1388,80211,1278
world_far_drag,162,55.3480,17.00,59.4560,105.4616,5,1388,80211,1278
world_far_drag,163,92.1410,17.00,59.4560,105.4648,5,1388,80211,1278
world_far_drag,164,77.5050,17.00,59.4560,105.4644,5,1388,80211,1278
world_far_drag,165,77.9320,17.00,59.4560,105.4658,5,1388,80211,1278
world_far_drag,166,61.7100,17.00,59.4560,105.4672,5,1388,80211,1278
world_far_drag,167,103.1390,16.00,103.0000,105.4685,5,1388,80211,1278
world_far_drag,168,66.4860,16.00,103.0000,105.4699,5,1388,80211,1278
world_far_drag,169,86.0760,16.00,103.0000,105.4713,5,1388,80211,1278
world_far_drag,170,81.2920,16.00,103.0000,105.4727,5,1388,80211,1278
world_far_drag,171,68.7860,16.00,103.0000,105.4741,5,1388,80211,1278
world_far_drag,172,60.9010,16.00,103.0000,105.4755,5,1388,80211,1278
world_far_drag,173,93.3110,16.00,103.0000,105.4768,5,1388,80211,1278
world_far_drag,174,94.5800,16.00,103.0000,105.4782,5,1388,80211,1278
world_far_drag,175,76.2350,16.00,103.0000,105.4796,5,1388,80211,1278
world_far_drag,176,65.5180,16.00,103.0000,105.4828,5,1388,80211,1278
world_far_drag,177,57.6140,16.00,103.0000,105.4824,5,1388,80211,1278
world_far_drag,178,56.0940,16.00,103.0000,105.4837,5,1388,80211,1278
world_far_drag,179,66.2440,16.00,103.0000,105.4851,5,1388,80211,1278
world_far_drag,180,68.6100,13.00,94.4290,105.4865,5,1388,80211,1278
world_far_drag,181,55.5550,13.00,94.4290,105.4879,5,1388,80211,1278
world_far_drag,182,55.3840,13.00,94.4290,105.4893,5,1388,80211,1278
world_far_drag,183,76.6840,13.00,94.4290,105.4906,5,1388,80211,1278
world_far_drag,184,99.5030,13.00,94.4290,105.4920,5,1388,80211,1278
world_far_drag,185,94.9520,13.00,94.4290,105.4934,5,1388,80211,1278
world_far_drag,186,74.0170,13.00,94.4290,105.4948,5,1388,80211,1278
world_far_drag,187,58.7360,13.00,94.4290,105.4962,5,1388,80211,1278
world_far_drag,188,61.3450,13.00,94.4290,105.4975,5,1388,80211,1278
world_far_drag,189,68.2090,13.00,94.4290,105.4989,5,1388,80211,1278
world_far_drag,190,116.1190,13.00,94.4290,105.5021,5,1388,80211,1278
world_far_drag,191,63.3080,13.00,94.4290,105.5017,5,1388,80211,1278
world_far_drag,192,58.4520,13.00,94.4290,105.5031,5,1388,80211,1278
world_far_drag,193,80.3990,13.00,94.4290,105.5045,5,1388,80211,1278
world_far_drag,194,70.7720,14.00,115.7100,105.5058,5,1388,80211,1278
world_far_drag,195,71.3630,14.00,115.7100,105.5072,5,1388,80211,1278
world_far_drag,196,62.1070,14.00,115.7100,105.5086,5,1388,80211,1278
world_far_drag,197,67.3330,14.00,115.7100,105.5100,5,1388,80211,1278
world_far_drag,198,57.5940,14.00,115.7100,105.5114,5,1388,80211,1278
world_far_drag,199,66.5010,14.00,115.7100,105.5127,5,1388,80211,1278
world_far_drag,200,56.2990,14.00,115.7100,105.5141,5,1388,80211,1278
world_far_drag,201,56.1680,14.00,115.7100,105.5155,5,1388,80211,1278
world_far_drag,202,57.2050,14.00,115.7100,105.5169,5,1388,80211,1278
world_far_drag,203,103.6390,14.00,115.7100,105.5183,5,1388,80211,1278
world_far_drag,204,88.2360,14.00,115.7100,105.5196,5,1388,80211,1278
world_far_drag,205,111.3090,14.00,115.7100,105.5228,5,1388,80211,1278
world_far_drag,206,64.0780,14.00,115.7100,105.5224,5,1388,80211,1278
world_far_drag,207,65.3270,14.00,115.7100,105.5238,5,1388,80211,1278
world_far_drag,208,83.5990,14.00,111.1390,105.5252,5,1388,80211,1278
world_far_drag,209,67.2970,14.00,111.1390,105.5290,5,1388,80211,1278
world_far_drag,210,75.0220,14.00,111.1390,105.5311,5,1388,80211,1278
world_far_drag,211,69.8950,14.00,111.1390,105.5349,5,1388,80211,1278
world_far_drag,212,60.9310,14.00,111.1390,105.5363,5,1388,80211,1278
world_far_drag,213,57.7380,14.00,111.1390,105.5377,5,1388,80211,1278
world_far_drag,214,58.3650,14.00,111.1390,105.5391,5,1388,80211,1278
world_far_drag,215,59.0800,14.00,111.1390,105.5404,5,1388,80211,1278
world_far_drag,216,82.0140,14.00,111.1390,105.5418,5,1388,80211,1278
world_far_drag,217,88.6340,14.00,111.1390,105.5432,5,1388,80211,1278
world_far_drag,218,70.7800,14.00,111.1390,105.5446,5,1388,80211,1278
world_far_drag,219,76.4450,14.00,111.1390,105.5460,5,1388,80211,1278
world_far_drag,220,57.7550,14.00,111.1390,105.5491,5,1388,80211,1278
world_far_drag,221,58.4630,14.00,111.1390,105.5487,5,1388,80211,1278
world_far_drag,222,59.9920,14.00,88.3760,105.5501,5,1388,80211,1278
world_far_drag,223,76.4180,14.00,88.3760,105.5515,5,1388,80211,1278
world_far_drag,224,76.2160,14.00,88.3760,105.5529,5,1388,80211,1278
world_far_drag,225,59.7170,14.00,88.3760,105.5542,5,1388,80211,1278
world_far_drag,226,58.3710,14.00,88.3760,105.5556,5,1388,80211,1278
world_far_drag,227,60.0890,14.00,88.3760,105.5570,5,1388,80211,1278
world_far_drag,228,57.4840,14.00,88.3760,105.5584,5,1388,80211,1278
world_far_drag,229,60.1560,14.00,88.3760,105.5598,5,1388,80211,1278
world_far_drag,230,72.4490,14.00,88.3760,105.5612,5,1388,80211,1278
world_far_drag,231,99.6920,14.00,88.3760,105.5625,5,1388,80211,1278
world_far_drag,232,109.3210,14.00,88.3760,105.5639,5,1388,80211,1278
world_far_drag,233,69.8130,14.00,88.3760,105.5653,5,1388,80211,1278
world_far_drag,234,82.8800,14.00,88.3760,105.5685,5,1388,80211,1278
world_far_drag,235,75.9710,14.00,88.3760,105.5681,5,1388,80211,1278
world_far_drag,236,61.9090,14.00,109.2320,105.5694,5,1388,80211,1278
world_far_drag,237,59.6770,14.00,109.2320,105.5708,5,1388,80211,1278
world_far_drag,238,60.3590,14.00,109.2320,105.5722,5,1388,80211,1278
world_far_drag,239,67.8300,14.00,109.2320,105.5736,5,1388,80211,1278
world_far_drag,240,78.3660,14.00,109.2320,105.5750,5,1388,80211,1278
world_far_drag,241,77.9760,14.00,109.2320,105.5763,5,1388,80211,1278
world_far_drag,242,64.1520,14.00,109.2320,105.5777,5,1388,80211,1278
world_far_drag,243,56.0990,14.00,109.2320,105.5791,5,1388,80211,1278
world_far_drag,244,55.3880,14.00,109.2320,105.5805,5,1388,80211,1278
world_far_drag,245,56.0880,14.00,109.2320,105.5819,5,1388,80211,1278
world_far_drag,246,56.5270,14.00,109.2320,105.5832,5,1388,80211,1278
world_far_drag,247,57.1430,14.00,109.2320,105.5846,5,1388,80211,1278
world_far_drag,248,69.9530,14.00,109.2320,105.5860,5,1388,80211,1278
world_far_drag,249,55.7870,14.00,109.2320,105.5874,5,1388,80211,1278
world_far_drag,250,55.0790,14.00,109.2320,105.5906,5,1388,80211,1278
world_far_drag,251,55.3610,14.00,109.2320,105.5902,5,1388,80211,1278
world_far_drag,252,55.3480,16.00,78.1170,105.5915,5,1388,80211,1278
world_far_drag,253,54.9510,16.00,78.1170,105.5929,5,1388,80211,1278
world_far_drag,254,55.3620,16.00,78.1170,105.5943,5,1388,80211,1278
world_far_drag,255,61.5300,16.00,78.1170,105.5957,5,1388,80211,1278
world_far_drag,256,61.1670,16.00,78.1170,105.5971,5,1388,80211,1278
world_far_drag,257,69.8540,16.00,78.1170,105.5984,5,1388,80211,1278
world_far_drag,258,113.2700,16.00,78.1170,105.5998,5,1388,80211,1278
world_far_drag,259,77.2860,16.00,78.1170,105.6012,5,1388,80211,1278
world_far_drag,260,82.1010,16.00,78.1170,105.6026,5,1388,80211,1278
world_far_drag,261,69.3470,16.00,78.1170,105.6040,5,1388,80211,1278
world_far_drag,262,85.7330,16.00,78.1170,105.6053,5,1388,80211,1278
world_far_drag,263,55.2030,16.00,78.1170,105.6067,5,1388,80211,1278
world_far_drag,264,79.6370,16.00,78.1170,105.6081,5,1388,80211,1278
world_far_drag,265,96.6970,16.00,78.1170,105.6113,5,1388,80211,1278
world_far_drag,266,59.3570,14.00,113.0710,105.6109,5,1388,80211,1278
world_far_drag,267,56.4430,14.00,113.0710,105.6122,5,1388,80211,1278
world_far_drag,268,57.8030,14.00,113.0710,105.6136,5,1388,80211,1278
world_far_drag,269,82.2490,14.00,113.0710,105.6150,5,1388,80211,1278
world_far_drag,270,69.6090,14.00,113.0710,105.6164,5,1388,80211,1278
world_far_drag,271,122.1330,14.00,113.0710,105.6243,5,1388,80211,1278
world_far_drag,272,60.1460,14.00,113.0710,105.6259,5,1389,80213,1278
world_far_drag,273,57.0840,14.00,113.0710,105.6274,5,1389,80213,1278
world_far_drag,274,64.1970,14.00,113.0710,105.6290,5,1389,80213,1278
world_far_drag,275,65.3700,14.00,113.0710,105.6304,5,1389,80213,1278
